characteristic	sample	preprocessor	nElementsBefore	sumWeightBefore	nElementsAfter	sumWeightAfter	preprocessor#1	nElementsBefore#1	sumWeightBefore#1	nElementsAfter#1	sumWeightAfter#1	preprocessor#2	nElementsBefore#2	sumWeightBefore#2	nElementsAfter#2	sumWeightAfter#2	preprocessor#3	nElementsBefore#3	sumWeightBefore#3	nElementsAfter#3	sumWeightAfter#3	preprocessor#4	nElementsBefore#4	sumWeightBefore#4	nElementsAfter#4	sumWeightAfter#4
VFamilyUsage	P5-M1-TIGIT.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	869	29425.0	283	3366.0	Filter [TRA]	869	29425.0	442	11193.0	Filter stops in CDR3, OOF in CDR3	442	11193.0	388	10506.0	Downsample by umi automatic	388	10506.0	283	3366.0					
VFamilyUsage	P5-T0-PD1.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	918	8033.0	315	3366.0	Filter [TRA]	918	8033.0	396	3976.0	Filter stops in CDR3, OOF in CDR3	396	3976.0	315	3366.0	Downsample by umi automatic	315	3366.0	315	3366.0					
VFamilyUsage	P5-M1-PD1.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	1938	14568.0	683	3366.0	Filter [TRA]	1938	14568.0	956	7346.0	Filter stops in CDR3, OOF in CDR3	956	7346.0	789	6346.0	Downsample by umi automatic	789	6346.0	683	3366.0					
VFamilyUsage	P5-M1-DNEG.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	2913	15674.0	1132	3366.0	Filter [TRA]	2913	15674.0	1505	7803.0	Filter stops in CDR3, OOF in CDR3	1505	7803.0	1333	6867.0	Downsample by umi automatic	1333	6867.0	1132	3366.0					
VFamilyUsage	P5-T0-DNEG.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	3223	18148.0	1129	3366.0	Filter [TRA]	3223	18148.0	1755	10270.0	Filter stops in CDR3, OOF in CDR3	1755	10270.0	1491	8805.0	Downsample by umi automatic	1491	8805.0	1129	3366.0					
VFamilyUsage	P5-M1-DPOS.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	669	8934.0	286	3366.0	Filter [TRA]	669	8934.0	341	5148.0	Filter stops in CDR3, OOF in CDR3	341	5148.0	297	4553.0	Downsample by umi automatic	297	4553.0	286	3366.0					
VFamilyUsage	P5-T0-DPOS.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	1787	22667.0	540	3366.0	Filter [TRA]	1787	22667.0	892	12934.0	Filter stops in CDR3, OOF in CDR3	892	12934.0	750	12099.0	Downsample by umi automatic	750	12099.0	540	3366.0					
VFamilyUsage	P23-T0-DPOS.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	56	211.0	28	157.0	Filter [TRA]	56	211.0	30	160.0	Filter stops in CDR3, OOF in CDR3	30	160.0	28	157.0	Downsample by umi automatic	28	157.0	28	157.0					
VFamilyUsage	P5-T0-TIGIT.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	789	31519.0	212	3366.0	Filter [TRA]	789	31519.0	400	17067.0	Filter stops in CDR3, OOF in CDR3	400	17067.0	352	15973.0	Downsample by umi automatic	352	15973.0	212	3366.0					
IsotypeUsage	P5-M1-TIGIT.clns	Filter [TRA] | Filter stops in CDR3, OOF in CDR3 | Downsample by umi automatic	869	29425.0	283	3366.0	Filter [TRA]	869	29425.0	442	11193.0	Filter stops in CDR3, OOF in CDR3	442	11193.0	388	10506.0	Downsample by umi automatic	388	10506.0	283	3366.0					
