sample	M1,DNEG	M1,DPOS	M1,PD1	M1,TIGIT	M2,DNEG	M2,DPOS	M2,PD1	M2,TIGIT	T0,DNEG	T0,DPOS	T0,PD1	T0,TIGIT
M1,DNEG	1.0	0.060531457292419745	0.10247371816762157	0.09404236387956909	0.102579095150215	0.060989891140019875	0.0899341132068415	0.06755167188495194	0.10295282913835747	0.05790113493521477	0.0924877195921531	0.0803975138196152
M1,DPOS	0.060531457292419745	1.0	0.1338990899118105	0.183571882896463	0.05289401200341414	0.24501594358914366	0.12889424811315658	0.12184314341507416	0.04913274591067723	0.2829444864900612	0.1366945049516621	0.1260862913522939
M1,PD1	0.10247371816762157	0.1338990899118105	1.0	0.1591186520117444	0.08799773982764474	0.11883270230309109	0.26120956014928476	0.10294879940266732	0.09341878082576328	0.14724604509849407	0.22474660775365576	0.10797495261535156
M1,TIGIT	0.09404236387956909	0.183571882896463	0.1591186520117444	1.0	0.07684932637943613	0.14631697146160091	0.11960376901749704	0.2117324352755833	0.07821770864372285	0.17666099632252644	0.11880628487961244	0.24758599548303678
M2,DNEG	0.102579095150215	0.05289401200341414	0.08799773982764474	0.07684932637943613	1.0	0.06618520921042326	0.11220554584338309	0.09077620209701007	0.12988601057744673	0.059126384931592946	0.09078352127351476	0.09397699323764483
M2,DPOS	0.060989891140019875	0.24501594358914366	0.11883270230309109	0.14631697146160091	0.06618520921042326	1.0	0.17157778073669194	0.17953364502263552	0.05497335620371826	0.29884529453270714	0.12758664079749338	0.16482309838769738
M2,PD1	0.0899341132068415	0.12889424811315658	0.26120956014928476	0.11960376901749704	0.11220554584338309	0.17157778073669194	1.0	0.13598084540807226	0.10164319727485129	0.15953265182493878	0.2247503676702738	0.11432521056073612
M2,TIGIT	0.06755167188495194	0.12184314341507416	0.10294879940266732	0.2117324352755833	0.09077620209701007	0.17953364502263552	0.13598084540807226	1.0	0.07765769943065905	0.1621754650134879	0.10542570879375639	0.2869229519269079
T0,DNEG	0.10295282913835747	0.04913274591067723	0.09341878082576328	0.07821770864372285	0.12988601057744673	0.05497335620371826	0.10164319727485129	0.07765769943065905	1.0	0.0566318355169993	0.09689358234375434	0.09806237585417517
T0,DPOS	0.05790113493521477	0.2829444864900612	0.14724604509849407	0.17666099632252644	0.059126384931592946	0.29884529453270714	0.15953265182493878	0.1621754650134879	0.0566318355169993	1.0	0.17108573571178395	0.1901908981767917
T0,PD1	0.0924877195921531	0.1366945049516621	0.22474660775365576	0.11880628487961244	0.09078352127351476	0.12758664079749338	0.2247503676702738	0.10542570879375639	0.09689358234375434	0.17108573571178395	1.0	0.12629770772800739
T0,TIGIT	0.0803975138196152	0.1260862913522939	0.10797495261535156	0.24758599548303678	0.09397699323764483	0.16482309838769738	0.11432521056073612	0.2869229519269079	0.09806237585417517	0.1901908981767917	0.12629770772800739	1.0
